Breed_name,url
Affenpinscher,https://www.petmd.com/dog/breeds/c_dg_affenpinscher
Afghan Hound,https://www.petmd.com/dog/breeds/c_dg_afghan_hound
Airedale Terrier,https://www.petmd.com/dog/breeds/airedale-terrier
Akita,https://www.petmd.com/dog/breeds/akita
Alaskan Klee Kai,https://www.petmd.com/dog/breeds/alaskan-klee-kai
Alaskan Malamute,https://www.petmd.com/dog/breeds/alaskan-malamute
American Bulldog,https://www.petmd.com/dog/breeds/american-bulldog
American Eskimo Dog,https://www.petmd.com/dog/breeds/american-eskimo-dog
American Foxhound,https://www.petmd.com/dog/breeds/c_dg_american_foxhound
American Pit Bull Terrier,https://www.petmd.com/dog/breeds/american-pit-bull-terrier
American Staffordshire Terrier,https://www.petmd.com/dog/breeds/american-staffordshire-terrier
American Water Spaniel,https://www.petmd.com/dog/breeds/c_dg_american_water_spaniel
Anatolian Shepherd,https://www.petmd.com/dog/breeds/anatolian-shepherd
Aussiedoodle,https://www.petmd.com/dog/breeds/aussiedoodle
Australian Cattle Dog,https://www.petmd.com/dog/breeds/australian-cattle-dog
Australian Shepherd,https://www.petmd.com/dog/breeds/australian-shepherd
Australian Terrier,https://www.petmd.com/dog/breeds/c_dg_australian_terrier
Azawakh,https://www.petmd.com/dog/breeds/c_dg_azawakh
Basenji,https://www.petmd.com/dog/breeds/basenji
Basset Hound,https://www.petmd.com/dog/breeds/basset-hound
Beagle,https://www.petmd.com/dog/breeds/beagle
Bearded Collie,https://www.petmd.com/dog/breeds/c_dg_bearded_collie
Beauceron,https://www.petmd.com/dog/breeds/beauceron
Bedlington Terrier,https://www.petmd.com/dog/breeds/c_dg_bedlington_terrier
Belgian Malinois,https://www.petmd.com/dog/breeds/belgian-malinois
Belgian Sheepdog (Groenendael),https://www.petmd.com/dog/breeds/belgian-sheepdog
Belgian Tervuren,https://www.petmd.com/dog/breeds/c_dg_belgian_tervuren
Bergamasco,https://www.petmd.com/dog/breeds/c_dg_bergamasco
Berger Picard,https://www.petmd.com/dog/breeds/c_dg_berger_picard
Bernese Mountain Dog,https://www.petmd.com/dog/breeds/bernese-mountain-dog
Bichon Frise,https://www.petmd.com/dog/breeds/bichon-frise
Black and Tan Coonhound,https://www.petmd.com/dog/breeds/c_dg_black_tan_coonhound
Black Russian Terrier,https://www.petmd.com/dog/breeds/c_dg_black_russian_terrier
Bloodhound,https://www.petmd.com/dog/breeds/bloodhound
Bolognese Dog Breed,https://www.petmd.com/dog/breeds/c_dg_bolognese
Border Collie,https://www.petmd.com/dog/breeds/border-collie
Border Terrier,https://www.petmd.com/dog/breeds/border-terrier
Borzoi,https://www.petmd.com/dog/breeds/borzoi
Boston Terrier,https://www.petmd.com/dog/breeds/boston-terrier
Bouvier des Flandres,https://www.petmd.com/dog/breeds/c_dg_bouvier_des_flandres
Boxer,https://www.petmd.com/dog/breeds/boxer
Briard,https://www.petmd.com/dog/breeds/c_dg_briard
Brittany (Brittany Spaniel),https://www.petmd.com/dog/breeds/brittany-spaniel
Brussels Griffon,https://www.petmd.com/dog/breeds/brussels-griffon
Bullmastiff,https://www.petmd.com/dog/breeds/bullmastiff
Bull Terrier,https://www.petmd.com/dog/breeds/bull-terrier
Cairn Terrier,https://www.petmd.com/dog/breeds/cairn-terrier
Canaan Dog,https://www.petmd.com/dog/breeds/c_dg_canaan_dog
Cane Corso,https://www.petmd.com/dog/breeds/cane-corso
Cardigan Welsh Corgi,https://www.petmd.com/dog/breeds/cardigan-welsh-corgi
Catahoula Leopard Dog,https://www.petmd.com/dog/breeds/catahoula-leopard-dog
Cavalier King Charles Spaniel,https://www.petmd.com/dog/breeds/cavalier-king-charles-spaniel
Cesky Terrier,https://www.petmd.com/dog/breeds/c_dg_cesky_terrier
Chesapeake Bay Retriever,https://www.petmd.com/dog/breeds/chesapeake-bay-retriever
Chinese Crested,https://www.petmd.com/dog/breeds/chinese-crested
Chinook,https://www.petmd.com/dog/breeds/c_dg_chinook
Chow Chow,https://www.petmd.com/dog/breeds/chow-chow
Clumber Spaniel,https://www.petmd.com/dog/breeds/c_dg_clumber_spaniel
Cocker Spaniel,https://www.petmd.com/dog/breeds/cocker-spaniel
Collie,https://www.petmd.com/dog/breeds/collie
Coton de Tulear,https://www.petmd.com/dog/breeds/coton-de-tulear
Curly-Coated Retriever,https://www.petmd.com/dog/breeds/c_dg_curly_coated_retriever
Dachshund,https://www.petmd.com/dog/breeds/dachshund
Dalmatian,https://www.petmd.com/dog/breeds/dalmatian
Dandie Dinmont Terrier,https://www.petmd.com/dog/breeds/c_dg_dandie_dinmont_terrier
Dingo,https://www.petmd.com/dog/breeds/c_dg_dingo
Doberman Pinscher,https://www.petmd.com/dog/breeds/doberman-pinscher
Dogo Argentino,https://www.petmd.com/dog/breeds/dogo-argentino
English Cocker Spaniel,https://www.petmd.com/dog/breeds/english-cocker-spaniel
English Foxhound,https://www.petmd.com/dog/breeds/c_dg_english_foxhound
English Setter,https://www.petmd.com/dog/breeds/english-setter
English Springer Spaniel,https://www.petmd.com/dog/breeds/english-springer-spaniel
English Toy Spaniel,https://www.petmd.com/dog/breeds/c_dg_english_toy_spaniel
Estrela Mountain Dog,https://www.petmd.com/dog/breeds/c_dg_estrela_mountain_dog
Field Spaniel,https://www.petmd.com/dog/breeds/c_dg_field_spaniel
Finnish Spitz,https://www.petmd.com/dog/breeds/c_dg_finnish_spitz
Flat-Coated Retriever,https://www.petmd.com/dog/breeds/flat-coated-retriever
French Bulldog,https://www.petmd.com/dog/breeds/french-bulldog
German Pinscher,https://www.petmd.com/dog/breeds/c_dg_german_pinscher
German Shepherd,https://www.petmd.com/dog/breeds/german-shepherd
German Shorthaired Pointer,https://www.petmd.com/dog/breeds/german-shorthaired-pointer
German Wirehaired Pointer,https://www.petmd.com/dog/breeds/german-wirehaired-pointer
Giant Schnauzer,https://www.petmd.com/dog/breeds/giant-schnauzer
Glen of Imaal Terrier,https://www.petmd.com/dog/breeds/c_dg_glen_imaal_terrier
Goldendoodle,https://www.petmd.com/dog/breeds/goldendoodle
Golden Retriever,https://www.petmd.com/dog/breeds/golden-retriever
Gordon Setter,https://www.petmd.com/dog/breeds/c_dg_gordon_setter
Grand Basset Griffon Vendéen,https://www.petmd.com/dog/breeds/c_dg_grand-basset-griffon-vendeen
Great Dane,https://www.petmd.com/dog/breeds/great-dane
Greater Swiss Mountain Dog,https://www.petmd.com/dog/breeds/c_dg_greater_swiss_mountain_dog
Great Pyrenees,https://www.petmd.com/dog/breeds/great-pyrenees
Greyhound,https://www.petmd.com/dog/breeds/greyhound
Harrier,https://www.petmd.com/dog/breeds/c_dg_harrier
Havanese,https://www.petmd.com/dog/breeds/havanese
Hokkaido,https://www.petmd.com/dog/breeds/c_dg_hokkaido
Ibizan Hound,https://www.petmd.com/dog/breeds/c_dg_ibizan_hound
Icelandic Sheepdog,https://www.petmd.com/dog/breeds/c_dg_icelandic_sheepdog
Irish Red and White Setter,https://www.petmd.com/dog/breeds/c_dg_irish_red_and_white_setter
Irish Setter,https://www.petmd.com/dog/breeds/irish-setter
Irish Terrier,https://www.petmd.com/dog/breeds/c_dg_irish_terrier
Irish Water Spaniel,https://www.petmd.com/dog/breeds/c_dg_irish_water_spaniel
Irish Wolfhound,https://www.petmd.com/dog/breeds/irish-wolfhound
Italian Greyhound,https://www.petmd.com/dog/breeds/italian-greyhound
Japanese Chin,https://www.petmd.com/dog/breeds/japanese-chin
Japanese Terrier,https://www.petmd.com/dog/breeds/c_dg_japanese_terrier
Keeshond,https://www.petmd.com/dog/breeds/keeshond
Kerry Beagle,https://www.petmd.com/dog/breeds/c_dg_kerry_beagle
Kerry Blue Terrier,https://www.petmd.com/dog/breeds/c_dg_kerry_blue_terrier
Komondor,https://www.petmd.com/dog/breeds/komondor
Korean Jindo,https://www.petmd.com/dog/breeds/c_dg_korean-jindo
Kuvasz,https://www.petmd.com/dog/breeds/c_dg_kuvasz
Labradoodle,https://www.petmd.com/dog/breeds/labradoodle
Labrador Retriever,https://www.petmd.com/dog/breeds/labrador-retriever
Lagotto Romagnolo,https://www.petmd.com/dog/breeds/lagotto-romagnolo
Lakeland Terrier,https://www.petmd.com/dog/breeds/c_dg_lakeland_terrier
Lancashire Heeler,https://www.petmd.com/dog/breeds/c_dg_lancashire_heeler
Leonberger,https://www.petmd.com/dog/breeds/leonberger
Lhasa Apso,https://www.petmd.com/dog/breeds/lhasa-apso
Löwchen,https://www.petmd.com/dog/breeds/c_dg_lowchen
Maltese,https://www.petmd.com/dog/breeds/maltese
Manchester Terrier,https://www.petmd.com/dog/breeds/c_dg_manchester_terrier
Mastiff,https://www.petmd.com/dog/breeds/mastiff
Miniature Bull Terrier,https://www.petmd.com/dog/breeds/c_dg_miniature_bull_terrier
Miniature Pinscher,https://www.petmd.com/dog/breeds/miniature-pinscher
Miniature Poodle,https://www.petmd.com/dog/breeds/miniature-poodle
Miniature Schnauzer,https://www.petmd.com/dog/breeds/miniature-schnauzer
Neapolitan Mastiff,https://www.petmd.com/dog/breeds/neapolitan-mastiff
Nederlandse Kooikerhondje,https://www.petmd.com/dog/breeds/c_dg_nederlandse-kooikerhondje
Norfolk Terrier,https://www.petmd.com/dog/breeds/c_dg_norfolk_terrier
Norwegian Elkhound,https://www.petmd.com/dog/breeds/norwegian-elkhound
Norwegian Lundehund,https://www.petmd.com/dog/breeds/c_dg_norwegian_lundehund
Norwich Terrier,https://www.petmd.com/dog/breeds/c_dg_norwich_terrier
Nova Scotia Duck Tolling Retriever,https://www.petmd.com/dog/breeds/nova-scotia-duck-tolling-retriever
Old English Sheepdog,https://www.petmd.com/dog/breeds/old-english-sheepdog
Otterhound,https://www.petmd.com/dog/breeds/c_dg_otterhound
Papillon,https://www.petmd.com/dog/breeds/papillon
Parson Jack Russell Terrier,https://www.petmd.com/dog/breeds/parson-jack-russell-terrier
Pekingese,https://www.petmd.com/dog/breeds/pekingese
Pembroke Welsh Corgi,https://www.petmd.com/dog/breeds/pembroke-welsh-corgi
Pharaoh Hound,https://www.petmd.com/dog/breeds/c_dg_pharaoh_hound
Plott Hound,https://www.petmd.com/dog/breeds/plott-hound
Pointer,https://www.petmd.com/dog/breeds/pointer
Polish Lowland Sheepdog,https://www.petmd.com/dog/breeds/c_dg_polish_lowland_sheepdog
Pomeranian,https://www.petmd.com/dog/breeds/pomeranian
Pomsky,https://www.petmd.com/dog/breeds/pomsky
Portuguese Water Dog,https://www.petmd.com/dog/breeds/portuguese-water-dog
Pug,https://www.petmd.com/dog/breeds/pug
Puli,https://www.petmd.com/dog/breeds/c_dg_puli
Pumi,https://www.petmd.com/dog/breeds/c_dg_pumi
Rat Terrier,https://www.petmd.com/dog/breeds/rat-terrier
Redbone Coonhound,https://www.petmd.com/dog/breeds/redbone-coonhound
Rhodesian Ridgeback,https://www.petmd.com/dog/breeds/rhodesian-ridgeback
Rottweiler,https://www.petmd.com/dog/breeds/rottweiler
Saint Bernard,https://www.petmd.com/dog/breeds/saint-bernard
Saluki,https://www.petmd.com/dog/breeds/saluki
Samoyed,https://www.petmd.com/dog/breeds/samoyed
Schipperke,https://www.petmd.com/dog/breeds/schipperke
Scottish Deerhound,https://www.petmd.com/dog/breeds/c_dg_scottish_deerhound
Scottish Terrier,https://www.petmd.com/dog/breeds/c_dg_scottish_terrier
Sealyham Terrier,https://www.petmd.com/dog/breeds/c_dg_sealyham_terrier
Shar-Pei,https://www.petmd.com/dog/breeds/shar-pei
Sheepadoodle,https://www.petmd.com/dog/breeds/sheepadoodle
Shetland Sheepdog (Sheltie),https://www.petmd.com/dog/breeds/shetland-sheepdog
Shiba Inu,https://www.petmd.com/dog/breeds/shiba-inu
Siberian Husky,https://www.petmd.com/dog/breeds/siberian-husky
Silky Terrier,https://www.petmd.com/dog/breeds/c_dg_silky_terrier
Skye Terrier,https://www.petmd.com/dog/breeds/c_dg_skye_terrier
Sloughi,https://www.petmd.com/dog/breeds/c_dg_sloughi
Smooth Haired Fox Terrier,https://www.petmd.com/dog/breeds/c_dg_smooth_fox_terrier
Soft Coated Wheaten Terrier,https://www.petmd.com/dog/breeds/c_dg_soft_coated_wheaten_terrier
Spanish Mastiff,https://www.petmd.com/dog/breeds/c_dg_spanish_mastiff
Spinone Italiano,https://www.petmd.com/dog/breeds/c_dg_spinone_italiano
Staffordshire Bull Terrier,https://www.petmd.com/dog/breeds/staffordshire-bull-terrier
Standard Poodle,https://www.petmd.com/dog/breeds/c_dg_poodle
Standard Schnauzer,https://www.petmd.com/dog/breeds/standard-schnauzer
Sussex Spaniel,https://www.petmd.com/dog/breeds/c_dg_sussex_spaniel
Swedish Vallhund,https://www.petmd.com/dog/breeds/c_dg_swedish_valhund
Thai Ridgeback,https://www.petmd.com/dog/breeds/c_dg_thai_ridgeback
Tibetan Mastiff,https://www.petmd.com/dog/breeds/tibetan-mastiff
Tibetan Spaniel,https://www.petmd.com/dog/breeds/c_dg_tibetan_spaniel
Tibetan Terrier,https://www.petmd.com/dog/breeds/c_dg_tibetan_terrier
Toy Fox Terrier,https://www.petmd.com/dog/breeds/c_dg_toy_fox_terrier
Toy Manchester Terrier,https://www.petmd.com/dog/breeds/c_dg_toy_manchester_terrier
Toy Poodle,https://www.petmd.com/dog/breeds/toy-poodle
Transylvanian Hound,https://www.petmd.com/dog/breeds/c_dg_transylvanian_hound
Vizsla,https://www.petmd.com/dog/breeds/vizsla
Volpino Italiano,https://www.petmd.com/dog/breeds/c_dg_volpino_italiano
Weimaraner,https://www.petmd.com/dog/breeds/weimaraner
Welsh Springer Spaniel,https://www.petmd.com/dog/breeds/c_dg_welsh_springer_spaniel
Welsh Terrier,https://www.petmd.com/dog/breeds/c_dg_welsh_terrier
West Highland White Terrier (Westie),https://www.petmd.com/dog/breeds/west-highland-white-terrier
Whippet,https://www.petmd.com/dog/breeds/whippet
Wire Fox Terrier,https://www.petmd.com/dog/breeds/c_dg_wire_fox_terrier
Wirehaired Pointing Griffon,https://www.petmd.com/dog/breeds/c_dg_wirehaired_pointing_griffon
Xoloitzcuintli (Mexican Hairless),https://www.petmd.com/dog/breeds/xoloitzcuintli
Yorkshire Terrier (Yorkie),https://www.petmd.com/dog/breeds/yorkshire-terrier
